书 B
口琴 Harmonica
外套 The coats
头痛 Headache;
射箭 arrowfire
手铐 Handcuffs
明信片 Postcard
机器猫 Doraemon
果茶 FRUIT TEA
棒棒糖 Lollipop
毛笔 Ink brush
水母 Jellyfish
沙漏 hourglass
海水 Sea water
烟花 Fireworks
牙签 Toothpick
牛头人 Minotaur
猩猩 Orangutan
甘蔗 Sugarcane
电影 Filmology
笔记本电脑 Laptop
糖葫芦 Tanghulu
红灯 Red light
纸杯 paper cup
绿茶 Green tea
背包 Inventory
臭美 shameless
花花公子 Playboy
菠萝 Pineapple
蓝莓 Blueberry
蜻蜓 Dragonfly
蝴蝶 Butterfly
蝴蝶结 bbowknot
蟑螂 Cockroach
酱油 Soy sauce
乌贼 Cuttlefish
仪表盘 Dashboard
内裤 Underpants
冰激凌 ice cream
变色龙 Chameleon
台灯 Table Lamp
台球 Cue sports
名字 First Name
墨镜 sunglasses
太极拳 Taijiquan
宇航员 Astronaut
导游 Tour guide
开心果 Pistachio
快板 Quickboard
手风琴 Accordion
掌纹 palm lines
排球 Volleyball
教科书 Textbooks
曲别针 Paperclip
替罪羊 scapegoat
果树 Fruit tree
柚子 Grapefruit
桌布 Tablecloth
水波 Water Wave
水球 Water Bolt
水管 Water pipe
河蟹 River crab
河豚 Pufferfish
流氓兔 Mashimaro
流鼻血 Nosebleed
海龟 Sea Turtle
滑板 Skateboard
潜水艇 Submarine
灰太狼 Gray Wolf
炒菜 stir-fried
犀牛 Rhinoceros
玩游戏 Play game
癞蛤蟆 Lame Toad
皮筋 rubberBand
相声 Xiangsheng
相片 Photograph
眼睫毛 Eye Slash
秃顶 bald crown
科学家 Scientist
竞技 Tournament
筷子 Chopsticks
篮球 Basketball
红眼病 Pink eye 
羽毛球 Badminton
耳机 Headphones
舞狮 Lion dance
茶叶 Tea leaves
荷包蛋 Fried egg
话筒 Microphone
兔八哥 Bugs Bunny
北极熊 polar bear
吹风机 Hair dryer
咖啡杯 Coffee cup
啄木鸟 Woodpecker
喇叭 Loudspeaker
四季豆 Green bean
大本钟 Great Bell
婚车 wedding car
实验室 Laboratory
忍者 史努比努鸡蛋一挖我娃路
手电筒 Flashlight
旱鸭子 Landlubber
杀生丸 Sesshomaru
杯子 Bei&apos;zi
极乐世界 Sukhāvatī
比赛 Competition
水表 Water meter
海豚 The dolphin
海鱼 marine fish
游泳衣 Swimsuits?
灰姑娘 Cinderella
照相 Photography
牙膏 Toothpastes
理发店 Barbershop
电吹风 Hair Dryer
直升机 Helicopter
眉笔 Make-Up Ink
石榴 pomegranate
程序员 Programmer
米饭 Cooked rice
红蜘蛛 Starscream
芋头 Chinese Yam
花菜 Cauliflower
衣服 The clothes
中暑 Hyperthermia
二郎神 Erlang Shen
兔女郎 rabbit girl
八哥 Crested myna
冬瓜 Winter melon
剪纸 Papercutting
压岁钱 Lucky Money
原子弹 Atomic bomb
口头禅 catchphrase
嚎啕大哭 Ugly Crier
夜市 Night market
旅行箱 Travel case
果干 Dried fruits
水壶 Water bottle
海盗船 Pirate Ship
消毒 Disinfection
温度计 Thermometer
火柴盒 a matchbox 
火鸡 fire chicken
烟斗 Smoking pipe
电饭煲 Rice cooker
电饭锅 Rice cooker
电鳗 Electric Eel
种花 to cultivate
红薯 Sweet potato
老爷车 classic car
股市 Stock market
舞蹈 Choreography
花瓣 flower petal
薯条 French fries
薯片 potato chips
蟠桃 Saturn Peach
读卡器 Card reader
乒乓球 Table Tennis
京剧 Beijing opera
体温计 Thermometers
信鸽 Homing pigeon
冰箱 Refrigerators
北京烤鸭 Peking duck
卫生纸 toilet paper
双眼皮 both eyelids
圣诞老人 Santa Claus
拖地 mop the floor
指甲剪 Nail clipper
晚会 Evening party
椰汁 Coconut Juice
橡皮 Pencil rubber
欢乐谷 Happy Valley
泡泡堂 Crazy Arcade
灯笼 Paper lantern
炸酱面 Zhajiangmian
烧麦 roasted wheat
热水器 Water heater
牛肉面 beef noodles
电冰箱 Refrigerator
电灯 Electric lamp
电线 Electric wire
画板 Drawing Board
白果 Ginkgo biloba
皮鞋 leather shoes
盗墓 Grave Robbing
絮絮叨叨 long-winded
网线 Network cable
菜刀 Kitchen Knife
螺丝刀 Screwdrivers
话剧 Straight play
人参果 ginseng fruit
元旦 New Year's Day
切菜板 Cutting board
单杠 Horizontal Bar
彩电 Television set
手链 chain bracelet
椰树 Cocos nucifera
烘干机 Clothes dryer
热带鱼 Tropical Fish
电脑桌 Computer Desk
电风扇 Electric fans
社交 Social contact
红蜻蜓 Red Dragonfly
衣架 Clothes hanger
吸尘器 Vacuum cleaner
扫地 sweep the floor
指甲钳 nail clippers 
杏 Prunus Armeniaca
梳妆台 Dressing Table
洗衣粉 Laundry powder
灭绝师太 Abbess Miejue
狗尾巴草 green foxtail
獾 GB92_FV217_short
电视机 Television set
糯米饭 Glutinous rice
落地灯 1   Floor Lamp
蛋炒饭 Egg Fried Rice
蜈蚣 Peteris Vittata
请帖 invitation card
请柬 invitation card
课程表 Class Schedule
豆沙包 Bean Paste Bun
丝瓜 Luffa aegyptiaca
垃圾桶 Waste container
大猩猩 Gorilla gorilla
大观园 Prospect Garden
床头柜 Bedside cabinet
微波炉 Microwave ovens
情人节 Valentine's Day
方便面 Instant noodles
流星 Meteoroid#Meteor
火车站 Railway station
燕窝 Bird's nest soup
番石榴 Psidium guajava
空调 Air conditioning
端午节 Duanwu Festival
蜡笔 Grease Pencil(s)
解放军 Liberation Army
升旗 to put up a flag 
发卡 Issuance of Cards
扇子 Foldable Hand Fan
日光灯 Fluorescent lamp
狗皮膏药 dogskin plaster
狼外婆 Wolf Grandmother
电动车 Electric Vehicle
电子秤 Electronic scale
电热毯 Electric blanket
篮球场 Basketball court
草莓 Garden strawberry
葫芦娃 Calabash Brother
藏羚羊 Tibetan antelope
冰糖葫芦 caramelized haws
扬子鳄 Chinese alligator
拖地板 Mopping the floor
果子狸 Masked palm civet
灭火器 Fire extinguisher
百香果 Passiflora edulis
糖果屋 Hansel and Gretel
网红 internet celebrity
美女 The gorgeous women
航空母舰 Aircraft carrier
菊花茶 Chrysanthemum tea
人头马 Human-headed Horse
冰鞋 ~b~Unsorted [skate]
北京大学 Peking University
医院 Hospital treatment.
护肤品 Skin care products
火焰山 Mountain of Flames
爆米花 Making rice krispy
牛郎织女 [Altair and Vega]
狗熊 black bear (coward)
经纬度 Latitude/Longitude
老马识途 knowing the ropes
苦瓜 Momordica charantia
护身符 protection talisman
秋裤 long underwear pants
系鞋带 d. Tie a shoe lace?
花花世界 A fast-paced world
清华大学 Tsinghua University
结婚证 Marriage Certificate
莲藕 Nelumbo nucifera#Uses
观音菩萨 Bodhisattva Guanyin
扑克牌 Standard 52-card deck
日环食 Annular solar eclipse
沙枣 Elaeagnus Angustifolia
七夕 Chinese Valentine’s Day
公安局 Public security bureau
含羞草 Mimosa sensor detector
灯泡 Incandescent light bulb
美女蛇 Beautiful Female Snake
剪指甲 to cut your hair/nails 
医生 <g id="Bold">Doctor:</g>
含沙射影 Powder Shooting Shadow
洗衣机 Clothes washing machine
牛头马面 Ox Head and Horse Face
石膏 Gypsum (Fibrosum Gypsum)
昙花 Queen of the Night Flower
照妖镜 Monster Revealing Mirror
妇女节 International Women's Day
对牛弹琴 play the lute to the cow
双面胶 Double-sided adhesives (5)
笑里藏刀 a dagger hidden in smiles
论功行赏 recognition of the merits
头破血流 head broken, blood flowing
果蝇 Fruit flies; hoppers Mustard
外星人 Extraterrestrials in fiction
电话 <g id="Bold">Contact No.:</g>
水漫金山 The Flooding of Jinshan Temple
兵马俑 Terracotta Soldiers &amp; Horses
山楂 Hawthorn Fruit (Fructus Crataegi)
玫瑰花 Rose flower (Flos Rosae Rugosae)
眼高手低 to be fastidious but incompetent
自作主张 act on one&apos;s own initiative
草船借箭 borrow arrows with ships of straw
城管 Urban Management and Law Enforcement
画龙点睛 paint a dragon and dot in the eyes
狮子座 Template:ConstellationsChangedByBayer
山药 Common Yam Rhizome (Rhizoma Dioscoreae)
菊花 Chrysanthemum Flower (Chrysanthemi Flos)
评剧 --- Founder of New School of Pingju Opera
耳坠 Oval Drop Earrings (Sparkle Ball Earrings)
空心砖 8 void, 12 void, hollow brick, ceiling block
皮影 Shadow, also known as puppet show, lamp shadow.
木瓜 Common Floweringqince Fruit (Chaenomelis Fructus)
升国旗 Raise the national flag. Sing the national anthem! Salute!
蒜头 Mash the red onion, garlic, galangal, ginger, and citronella. 
藕 Chong Liu: Lotus roots; both crisp and glutinous lotus roots are delicious.
照镜子 Check in the mirror that the part back of the tongue remains lowered and does not go near the soft palate.
席子 The perception behind this tradition is to enable women to learn traditional skills such as weaving baskets, mats, skirts etc.
中央电视台 <g id="1">China Central Television</g>                                                                                                             Beijing, China
