书 book
中暑 Hyperthermia
兔女郎 rabbit girl
八哥 Crested myna
冬瓜 Winter melon
剪纸 Papercutting
压岁钱 Lucky Money
原子弹 Atomic bomb
夜市 Night market
旅行箱 Travel case
果干 Dried fruits
干果 Dried fruits
水壶 Water bottle
海盗船 Pirate Ship
温度计 Thermometer
火柴盒 matchbox 
火鸡 fire chicken
烟斗 Smoking pipe
电饭煲 Rice cooker
电饭锅 Rice cooker
电鳗 Electric Eel
红薯 Sweet potato
股市 Stock market
舞蹈 dance
花瓣 flower petal
薯条 French fries
薯片 potato chips
蟠桃 Saturn Peach
读卡器 Card reader
乒乓球 Table Tennis
京剧 Beijing opera
体温计 Thermometers
信鸽 Homing pigeon
冰箱 Refrigerators
北京烤鸭 Peking duck
卫生纸 toilet paper
双眼皮 both eyelids
圣诞老人 Santa Claus
拖地 mop floor
指甲剪 Nail clipper
晚会 Evening party
椰汁 Coconut Juice
橡皮 Pencil rubber
欢乐谷 Happy Valley
泡泡堂 Crazy Arcade
灯笼 Paper lantern
烧麦 roasted wheat
热水器 Water heater
牛肉面 beef noodles
电冰箱 Refrigerator
电灯 Electric lamp
电线 Electric wire
画板 Drawing Board
白果 Ginkgo biloba
皮鞋 leather shoes
盗墓 Grave Robbing
网线 Network cable
菜刀 Kitchen Knife
螺丝刀 Screwdrivers
话剧 Straight play
人参果 ginseng fruit
元旦 New Year's Day
切菜板 Cutting board
彩电 Television set
手链 chain bracelet
椰树 Cocos nucifera
烘干机 Clothes dryer
热带鱼 Tropical Fish
电脑桌 Computer Desk
电风扇 Electric fans
社交 Social contact
红蜻蜓 Red Dragonfly
衣架 Clothes hanger
吸尘器 Vacuum cleaner
扫地 sweep floor
指甲钳 nail clippers 
杏 Prunus Armeniaca
梳妆台 Dressing Table
洗衣粉 Laundry powder
狗尾巴草 green foxtail
电视机 Television set
糯米饭 Glutinous rice
落地灯 Floor Lamp
蛋炒饭 Egg Fried Rice
蜈蚣 Peteris Vittata
请帖 invitation card
请柬 invitation card
课程表 Class Schedule
豆沙包 Bean Paste Bun
丝瓜 Luffa aegyptiaca
垃圾桶 Waste container
大猩猩 Gorilla gorilla
大观园 Prospect Garden
床头柜 Bedside cabinet
微波炉 Microwave ovens
情人节 Valentine's Day
方便面 Instant noodles
流星 Meteoroid#Meteor
火车站 Railway station
燕窝 Bird's nest soup
番石榴 Psidium guajava
空调 Air conditioning
端午节 Duanwu Festival
蜡笔 Grease Pencil
解放军 Liberation Army
升旗 to put up a flag 
发卡 Issuance of Cards
扇子 Foldable Hand Fan
日光灯 Fluorescent lamp
狼外婆 Wolf Grandmother
电动车 Electric Vehicle
电子秤 Electronic scale
电热毯 Electric blanket
篮球场 Basketball court
草莓 Garden strawberry
葫芦娃 Calabash Brother
藏羚羊 Tibetan antelope
冰糖葫芦 caramelized haws
扬子鳄 Chinese alligator
拖地板 Mopping floor
果子狸 Masked palm civet
灭火器 Fire extinguisher
百香果 Passiflora edulis
糖果屋 Hansel and Gretel
网红 internet celebrity
美女 gorgeous women
航空母舰 Aircraft carrier
菊花茶 Chrysanthemum tea
人头马 Human-headed Horse
医院 Hospital treatment.
护肤品 Skin care products
火焰山 Mountain of Flames
爆米花 Making rice krispy
牛郎织女 Altair and Vega
狗熊 black bear
经纬度 Latitude / Longitude
苦瓜 Momordica charantia
护身符 protection talisman
秋裤 long underwear pants
鞋带 shoe lace
结婚证 Marriage Certificate
莲藕 Nelumbo nucifera#Uses
观音菩萨 Bodhisattva Guanyin
扑克牌 Standard 52-card deck
日环食 Annular solar eclipse
沙枣 Elaeagnus Angustifolia
七夕 Chinese Valentine’s Day
公安局 Public security bureau
含羞草 Mimosa sensor detector
灯泡 Incandescent light bulb
美女蛇 Beautiful Female Snake
剪指甲 cut your hair/nails 
医生 Doctor
洗衣机 Clothes washing machine
石膏 Gypsum (Fibrosum Gypsum)
昙花 Queen of Night Flower
妇女节 International Women's Day
对牛弹琴 play lute to cow
双面胶 Double-sided adhesives
头破血流 head broken, blood flowing
果蝇 Fruit flies; hoppers Mustard
外星人 Extraterrestrials in fiction
电话 telephone
水漫金山 Flooding of Jinshan Temple
兵马俑 Terracotta Soldiers &amp; Horses
山楂 Hawthorn Fruit (Fructus Crataegi)
玫瑰花 Rose flower (Flos Rosae Rugosae)
眼高手低 to be fastidious but incompetent
自作主张 act on one's own initiative
草船借箭 borrow arrows with ships of straw
城管 Urban Management and Law Enforcement
画龙点睛 paint a dragon and dot in eyes
山药 Common Yam Rhizome (Rhizoma Dioscoreae)
菊花 Chrysanthemum Flower
耳坠 Oval Drop Earrings (Sparkle Ball Earrings)
皮影 Shadow, also known as puppet show, lamp shadow.
木瓜 Common Floweringqince Fruit (Chaenomelis Fructus)
升国旗 Raise national flag. Sing national anthem! Salute!
蒜头 Mash red onion, garlic, galangal, ginger, and citronella. 
藕 lotus roots
镜子 mirror
